" Ano"," Código da Área"," Área de Avaliação","Grau Acadêmico"," Código da IES"," Nome da IES*"," Sigla da IES*"," Organização Acadêmica"," Categoria Administrativa"," Código do Curso"," Modalidade de Ensino","Código do Município**","Município do Curso**","Sigla da UF** "," Nº de Concluintes Inscritos"," Nº de Concluintes Participantes"," Nº de Concluintes Participantes com nota no Enem"," Proporção de Concluintes participantes com nota no Enem"," Nota Bruta - IDD"," IDD (Contínuo)"," IDD (Faixa)","Observação"
"2021","2501","ARTES VISUAIS ","Licenciatura","2","UNIVERSIDADE DE BRASÍLIA","UNB","Universidade","Pública Federal","151","Educação Presencial","5300108","Brasília","DF","54","41","22","0.536","-0.302","2.236","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","2","UNIVERSIDADE DE BRASÍLIA","UNB","Universidade","Pública Federal","52159","Educação Presencial","5300108","Brasília","DF","34","28","16","0.571","-2.83","1.369","2",""
"2021","2501","ARTES VISUAIS ","Licenciatura","3","UNIVERSIDADE FEDERAL DE SERGIPE","UFS","Universidade","Pública Federal","80419","Educação Presencial","2806701","São Cristóvão","SE","33","33","32","0.969","-0.15","2.288","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","4","UNIVERSIDADE FEDERAL DO AMAZONAS","UFAM","Universidade","Pública Federal","62512","Educação Presencial","1302603","Manaus","AM","27","23","22","0.956","2.26","3.114","4",""
"2021","2501","ARTES VISUAIS ","Licenciatura","4","UNIVERSIDADE FEDERAL DO AMAZONAS","UFAM","Universidade","Pública Federal","112126","Educação a Distância","1302603","Manaus","AM","65","59","15","0.254","-0.685","2.105","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","4","UNIVERSIDADE FEDERAL DO AMAZONAS","UFAM","Universidade","Pública Federal","1103469","Educação Presencial","1303403","Parintins","AM","25","20","20","1","-4.027","0.959","2",""
"2021","2501","ARTES VISUAIS ","Licenciatura","5","UNIVERSIDADE FEDERAL DO PIAUÍ","UFPI","Universidade","Pública Federal","1105133","Educação Presencial","2211001","Teresina","PI","52","37","33","0.891","0.037","2.352","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","9","UNIVERSIDADE ESTADUAL DE LONDRINA","UEL","Universidade","Pública Estadual","1146843","Educação Presencial","4113700","Londrina","PR","42","41","29","0.707","-0.994","1.999","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","12","UNIVERSIDADE FEDERAL DO RIO GRANDE","FURG","Universidade","Pública Federal","1044","Educação Presencial","4315602","Rio Grande","RS","18","16","14","0.875","-1.245","1.913","2",""
"2021","2501","ARTES VISUAIS ","Licenciatura","13","UNIVERSIDADE DE CAXIAS DO SUL","UCS","Universidade","Privada sem fins lucrativos","112356","Educação Presencial","4305108","Caxias do Sul","RS","21","18","8","0.444","-3.766","1.048","2",""
"2021","2501","ARTES VISUAIS ","Licenciatura","17","UNIVERSIDADE FEDERAL DE UBERLÂNDIA","UFU","Universidade","Pública Federal","111378","Educação Presencial","3170206","Uberlândia","MG","34","30","28","0.933","-1.043","1.982","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","19","PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS","PUC-CAMPINAS","Universidade","Privada sem fins lucrativos","21865","Educação Presencial","3509502","Campinas","SP","11","6","5","0.833","-1.52","1.818","2",""
"2021","2501","ARTES VISUAIS ","Licenciatura","20","UNIVERSIDADE DE PASSO FUNDO","UPF","Universidade","Privada sem fins lucrativos","88502","Educação Presencial","4314100","Passo Fundo","RS","11","9","5","0.555","2.963","3.355","4",""
"2021","2501","ARTES VISUAIS ","Licenciatura","23","UNIVERSIDADE FEEVALE","FEEVALE","Universidade","Privada sem fins lucrativos","58330","Educação Presencial","4313409","Novo Hamburgo","RS","11","9","4","0.444","5.964","4.384","5",""
"2021","2501","ARTES VISUAIS ","Licenciatura","29","UNIVERSIDADE ESTADUAL DO CEARÁ","UECE","Universidade","Pública Estadual","1152477","Educação a Distância","2304400","Fortaleza","CE","9","4","1","0.25","","","SC",""
"2021","2501","ARTES VISUAIS ","Licenciatura","43","FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA","UDESC","Universidade","Pública Estadual","117352","Educação Presencial","4205407","Florianópolis","SC","24","22","10","0.454","1.529","2.864","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","54","UNIVERSIDADE ESTADUAL DE CAMPINAS","UNICAMP","Universidade","Pública Estadual","91972","Educação Presencial","3509502","Campinas","SP","24","15","15","1","1.104","2.718","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","56","UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO","UNESP","Universidade","Pública Estadual","94725","Educação Presencial","3550308","São Paulo","SP","61","53","48","0.905","-0.14","2.291","3",""
"2021","2501","ARTES VISUAIS ","Licenciatura","56","UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO","UNESP","Universidade","Pública Estadual","1212284","Educação Presencial","3506003","Bauru","SP","30","28","23","0.821","2.364","3.15","4",""
