id_curso,nome_curso
0,PEDAGOGIA
2,MARKETING
3,GESTÃO COMERCIAL
4,PSICOLOGIA
5,FARMÁCIA
6,DIREITO
8,MEDICINA VETERINÁRIA
11,ODONTOLOGIA
15,GESTÃO DE RECURSOS HUMANOS
21,ENGENHARIA CIVIL
22,CIÊNCIAS CONTÁBEIS
34,ADMINISTRAÇÃO
35,ARQUITETURA E URBANISMO
41,MÚSICA
49,RADIOLOGIA
66,SERVIÇO SOCIAL
69,ENFERMAGEM
71,HISTÓRIA
74,MUSEOLOGIA
95,EDUCAÇÃO FÍSICA
110,PROCESSOS GERENCIAIS
114,LOGÍSTICA
121,GESTÃO AMBIENTAL
122,NUTRIÇÃO
126,ESTÉTICA E COSMÉTICA
128,BIOMEDICINA
129,FISIOTERAPIA
132,COMUNICAÇÃO SOCIAL - JORNALISMO
137,SISTEMAS DE INFORMAÇÃO
146,ENGENHARIA DE PRODUÇÃO
151,ENGENHARIA DE COMPUTAÇÃO
156,LETRAS - PORTUGUÊS E INGLÊS
160,PUBLICIDADE E PROPAGANDA
168,ENGENHARIA MECÂNICA
182,CIÊNCIAS DA COMPUTAÇÃO
200,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
212,GESTÃO DA QUALIDADE
228,DESIGN DE INTERIORES
232,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
270,GESTÃO DA PRODUÇÃO INDUSTRIAL
272,RELAÇÕES INTERNACIONAIS
273,ARTES VISUAIS
279,ENGENHARIA QUÍMICA
298,SERVIÇOS JURÍDICOS E NOTARIAIS
351,GESTÃO PÚBLICA
355,GESTÃO DE SEGURANÇA PRIVADA
362,ENGENHARIA ELÉTRICA
363,CIÊNCIAS ECONÔMICAS
374,SOCIOLOGIA
375,GESTÃO HOSPITALAR
487,GEOGRAFIA
488,MEDICINA
511,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
534,CIÊNCIAS BIOLÓGICAS
559,SEGURANÇA ALIMENTAR
565,TEOLOGIA
567,MARKETING DIGITAL
587,ENGENHARIA DE CONTROLE E AUTOMAÇÃO
630,GESTÃO FINANCEIRA
643,QUÍMICA
677,MATEMÁTICA
685,PRODUÇÃO PUBLICITÁRIA
704,GASTRONOMIA
722,JORNALISMO
743,AGRONEGÓCIO
749,LETRAS - INGLÊS
758,PSICOPEDAGOGIA
786,CIÊNCIA DA COMPUTAÇÃO
795,CIÊNCIA ECONÔMICA
801,LETRAS - PORTUGUÊS
808,SANEAMENTO AMBIENTAL
829,NATUROLOGIA
855,BIOLOGIA
860,COMPUTAÇÃO
877,COMÉRCIO EXTERIOR
886,ENGENHARIA AMBIENTAL E SANITÁRIA
935,PRODUÇÃO MULTIMÍDIA
960,SISTEMA DE INFORMAÇÃO
1029,FILOSOFIA
1038,PRODUÇÃO FONOGRÁFICA
1059,PODOLOGIA
1151,DESIGN GRÁFICO
1159,REDES DE COMPUTADORES
1174,ÓPTICA E OPTOMETRIA
1180,FÍSICA
1190,BANCO DE DADOS
