id_instituicao_de_ensino,nome_da_ies
0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ
2,FACULDADE EVANGÉLICA DE CERES
3,UNIVERSIDADE EVANGÉLICA DE GOIÁS
63,CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM
1348,FACULDADE EVANGÉLICA DE GOIANÉSIA
1409,FACULDADE EVANGÉLICA DE JARAGUÁ
1567,UNIVERSIDADE SALVADOR
1593,UNIVERSIDADE CATÓLICA DOM BOSCO
1702,FACULDADE EVANGÉLICA DE SENADOR CANEDO
3088,CENTRO UNIVERSITÁRIO DE GOIÁS
3848,UNIVERSIDADE ESTÁCIO DE SÁ
3849,UNIVERSIDADE CRUZEIRO DO SUL
3851,UNIVERSIDADE DO OESTE PAULISTA
4102,CENTRO UNIVERSITÁRIO RUY BARBOSA WYDEN
4223,FACULDADES INTEGRADAS DE JAHU
4282,UNIVERSIDADE CATÓLICA DE PERNAMBUCO
4287,UNIVERSIDADE TIRADENTES
4315,CENTRO UNIVERSITÁRIO TIRADENTES
4316,UNIVERSIDADE DE CAXIAS DO SUL
5940,CENTRO UNIVERSITÁRIO TIRADENTES DE PERNAMBUCO
6971,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS
6983,UNIVERSIDADE VALE DO RIO VERDE
6996,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO
8724,FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES
11166,CENTRO UNIVERSITÁRIO AESO -  BARROS MELO
11183,CENTRO UNIVERSITÁRIO DE ITAJUBÁ
11391,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS
11412,CENTRO UNIVERSITÁRIO DE BRASÍLIA
11605,ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE
11611,CENTRO UNIVERSITÁRIO TOLEDO
11631,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ
11660,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS
11801,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE
11819,CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA
