id_municipio,municipio
0,BRASÍLIA
2,SÃO CRISTÓVÃO
3,MANAUS
5,PARINTINS
6,TERESINA
7,LONDRINA
8,RIO GRANDE
9,CAXIAS DO SUL
10,UBERLÂNDIA
11,CAMPINAS
12,PASSO FUNDO
13,NOVO HAMBURGO
14,FORTALEZA
15,FLORIANÓPOLIS
17,SÃO PAULO
18,BAURU
19,MARINGÁ
20,BLUMENAU
21,ARARAS
22,SOROCABA
27,OURINHOS
28,PRESIDENTE PRUDENTE
29,SÃO JOSÉ DOS CAMPOS
32,MONTES CLAROS
35,BELÉM
38,CRICIÚMA
39,FRANCA
40,RIO DE JANEIRO
41,SÃO LUÍS
44,NATAL
45,CURITIBA
46,VITÓRIA
49,BELO HORIZONTE
50,JUIZ DE FORA
51,SALVADOR
52,JOÃO PESSOA
53,RECIFE
54,PORTO ALEGRE
55,SANTA MARIA
56,GOIÂNIA
61,PELOTAS
62,TAUBATÉ
64,CAMPO GRANDE
66,PORTO VELHO
67,CÁCERES
68,PONTA GROSSA
69,JUAZEIRO DO NORTE
70,BOA VISTA
71,MACAPÁ
72,SANTOS
76,INDAIAL
78,LIMEIRA
80,GOIÁS
81,SERRA
82,CHAPECÓ
83,GUARULHOS
84,MONTENEGRO
85,JUAZEIRO
86,PALMAS
87,MARABÁ
90,SANTA MARIA DA VITÓRIA
91,CUIABÁ
92,BARRA DO GARÇAS
99,OURO PRETO
100,SÃO CARLOS
102,VIÇOSA
103,FLORESTAL
109,BENTO GONÇALVES
110,SÃO LEOPOLDO
117,ILHÉUS
118,TRÊS CORAÇÕES
121,ALFENAS
123,JOINVILLE
124,ANÁPOLIS
126,SÃO JOSÉ DO RIO PRETO
128,RIO CLARO
131,PIRACICABA
132,MOSSORÓ
135,VIDEIRA
136,SÃO MIGUEL DO OESTE
137,ITAJAÍ
138,SÃO JOSÉ
139,SOBRAL
140,SÃO JOÃO DEL REI
141,BATATAIS
143,RIBEIRÃO PRETO
160,SANTA CRUZ DO SUL
162,BARBACENA
170,ARARAQUARA
176,ARAÇATUBA
177,SANTANA DE PARNAÍBA
183,JUNDIAÍ
192,POÇOS DE CALDAS
203,ARACAJU
207,GARANHUNS
209,SANTIAGO
210,FREDERICO WESTPHALEN
211,SANTO ÂNGELO
212,ERECHIM
215,CRUZ ALTA
219,CANOAS
220,GRAVATAÍ
222,SANTO ANDRÉ
227,TERESÓPOLIS
229,ITAQUAQUECETUBA
231,TUBARÃO
233,NITERÓI
236,IJUÍ
237,SANTA ROSA
242,CAMPINA GRANDE
243,PATOS
250,JANDAIA DO SUL
251,PALOTINA
253,RIO DAS OSTRAS
254,SANTO ANTÔNIO DE PÁDUA
256,ALEGRE
257,SÃO MATEUS
258,NOVA IGUAÇU
263,MACEIÓ
264,ARAPIRACA
268,RIO TINTO
275,QUIXADÁ
276,CRATEÚS
277,RUSSAS
285,FRANCISCO BELTRÃO
286,MEDIANEIRA
287,CAMPO MOURÃO
288,SANTA HELENA
290,ANGICOS
294,CAPITÃO POÇO
296,LAVRAS
299,ITAJUBÁ
300,VALENÇA
301,PORTO SEGURO
302,JACOBINA
303,IMPERATRIZ
304,CAXIAS
305,IBIRUBÁ
306,SÃO CAETANO DO SUL
308,OSÓRIO
311,VILA VELHA
314,VITÓRIA DA CONQUISTA
315,PETROLINA
317,PONTA PORÃ
320,BARRA DO BUGRES
321,ALTO ARAGUAIA
323,COLÍDER
326,RONDONÓPOLIS
328,PARNAÍBA
330,PIRIPIRI
337,CAMPOS DOS GOYTACAZES
338,DOURADOS
339,NOVA ANDRADINA
340,LORENA
344,CAJAZEIRAS
348,GUARAPUAVA
349,SALTO
355,CASCAVEL
359,CAMPO LIMPO PAULISTA
360,ADAMANTINA
362,RIO VERDE
363,MORRINHOS
364,AMERICANA
365,UBÁ
368,FOZ DO IGUAÇU
