id_idd,id_curso,id_codigo_intituicao,id_municipio,id_estado,id_organizacao_academica,id_categoria_administrativa,id_grau_academico,id_modalidade_de_ensino,idd_continuo,idd_faixa,ano,numero_concluintes,numero_participantes,numero_participantes_nota_enem,proporcao_concluintes,nome_bruta_idd
0,ARTES VISUAIS ,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,DF,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.236,3,2021,54.0,41.0,22.0,0.536,-0.302
1,ARTES VISUAIS ,UNIVERSIDADE DE BRASÍLIA,BRASÍLIA,DF,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.369,2,2021,34.0,28.0,16.0,0.571,-2.83
2,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE SERGIPE,SÃO CRISTÓVÃO,SE,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.288,3,2021,33.0,33.0,32.0,0.969,-0.15
3,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO AMAZONAS,MANAUS,AM,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.114,4,2021,27.0,23.0,22.0,0.956,2.26
4,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO AMAZONAS,MANAUS,AM,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,2.105,3,2021,65.0,59.0,15.0,0.254,-0.685
5,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO AMAZONAS,PARINTINS,AM,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,0.959,2,2021,25.0,20.0,20.0,1.0,-4.027
6,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO PIAUÍ,TERESINA,PI,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.352,3,2021,52.0,37.0,33.0,0.891,0.037
7,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL DE LONDRINA,LONDRINA,PR,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.999,3,2021,42.0,41.0,29.0,0.707,-0.994
8,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO RIO GRANDE,RIO GRANDE,RS,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.913,2,2021,18.0,16.0,14.0,0.875,-1.245
9,ARTES VISUAIS ,UNIVERSIDADE DE CAXIAS DO SUL,CAXIAS DO SUL,RS,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.048,2,2021,21.0,18.0,8.0,0.444,-3.766
10,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UBERLÂNDIA,MG,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.982,3,2021,34.0,30.0,28.0,0.933,-1.043
11,ARTES VISUAIS ,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,CAMPINAS,SP,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.818,2,2021,11.0,6.0,5.0,0.833,-1.52
12,ARTES VISUAIS ,UNIVERSIDADE DE PASSO FUNDO,PASSO FUNDO,RS,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.355,4,2021,11.0,9.0,5.0,0.555,2.963
13,ARTES VISUAIS ,UNIVERSIDADE FEEVALE,NOVO HAMBURGO,RS,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,4.384,5,2021,11.0,9.0,4.0,0.444,5.964
14,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL DO CEARÁ,FORTALEZA,CE,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,9.0,4.0,1.0,0.25,NAN
15,ARTES VISUAIS ,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,FLORIANÓPOLIS,SC,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.864,3,2021,24.0,22.0,10.0,0.454,1.529
16,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL DE CAMPINAS,CAMPINAS,SP,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.718,3,2021,24.0,15.0,15.0,1.0,1.104
17,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,SÃO PAULO,SP,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.291,3,2021,61.0,53.0,48.0,0.905,-0.14
18,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,BAURU,SP,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.15,4,2021,30.0,28.0,23.0,0.821,2.364
19,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL DE MARINGÁ,MARINGÁ,PR,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.856,2,2021,43.0,38.0,27.0,0.71,-1.411
20,ARTES VISUAIS ,UNIVERSIDADE REGIONAL DE BLUMENAU,BLUMENAU,SC,UNIVERSIDADE,PÚBLICA MUNICIPAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,4.499,5,2021,15.0,14.0,9.0,0.642,6.297
21,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO DE ARARAS -,ARARAS,SP,CENTRO UNIVERSITÁRIO,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,560.0,316.0,15.0,0.047,NAN
22,ARTES VISUAIS ,UNIVERSIDADE DE SOROCABA,SOROCABA,SP,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.145,3,2021,14.0,14.0,12.0,0.857,-0.567
23,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,SÃO PAULO,SP,CENTRO UNIVERSITÁRIO,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.73,2,2021,22.0,18.0,9.0,0.5,-1.777
24,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,SÃO PAULO,SP,CENTRO UNIVERSITÁRIO,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,5.0,0.0,0.0,0.0,NAN
25,ARTES VISUAIS ,UNIVERSIDADE CRUZEIRO DO SUL,SÃO PAULO,SP,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.119,3,2021,31.0,26.0,15.0,0.576,-0.643
26,ARTES VISUAIS ,UNIVERSIDADE CRUZEIRO DO SUL,SÃO PAULO,SP,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,178.0,121.0,16.0,0.132,NAN
27,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,OURINHOS,SP,CENTRO UNIVERSITÁRIO,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,4.153,5,2021,11.0,10.0,7.0,0.7,5.289
28,ARTES VISUAIS ,UNIVERSIDADE DO OESTE PAULISTA,PRESIDENTE PRUDENTE,SP,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,NAN,SC,2021,7.0,0.0,0.0,0.0,NAN
29,ARTES VISUAIS ,UNIVERSIDADE DO VALE DO PARAÍBA,SÃO JOSÉ DOS CAMPOS,SP,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.107,3,2021,10.0,8.0,7.0,0.875,-0.678
30,ARTES VISUAIS ,UNIVERSIDADE PITÁGORAS UNOPAR ANHANGUERA,LONDRINA,PR,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,1.546,2,2021,95.0,88.0,30.0,0.34,-2.313
31,ARTES VISUAIS ,UNIVERSIDADE PAULISTA,SÃO PAULO,SP,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,2.01,3,2021,465.0,314.0,89.0,0.283,-0.962
32,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,MONTES CLAROS,MG,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,0.695,1,2021,14.0,6.0,6.0,1.0,-4.796
33,ARTES VISUAIS ,FACULDADE PAULISTA DE ARTES,SÃO PAULO,SP,FACULDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,0.0,1,2021,39.0,31.0,16.0,0.516,-6.825
34,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,SÃO PAULO,SP,CENTRO UNIVERSITÁRIO,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.153,3,2021,82.0,67.0,47.0,0.701,-0.543
35,ARTES VISUAIS ,UNIVERSIDADE DA AMAZÔNIA,BELÉM,PA,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,NAN,NAN,2021,51.0,0.0,0.0,0.0,NAN
36,ARTES VISUAIS ,UNIVERSIDADE CIDADE DE SÃO PAULO,SÃO PAULO,SP,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,172.0,127.0,13.0,0.102,NAN
37,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO,SÃO PAULO,SP,FACULDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.539,4,2021,10.0,8.0,6.0,0.75,3.499
38,ARTES VISUAIS ,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,CRICIÚMA,SC,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,5.0,5,2021,17.0,14.0,8.0,0.571,7.758
39,ARTES VISUAIS ,UNIVERSIDADE DE FRANCA,FRANCA,SP,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,1.194,2,2021,148.0,94.0,23.0,0.244,-3.342
40,ARTES VISUAIS ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,RIO DE JANEIRO,RJ,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.204,3,2021,76.0,52.0,44.0,0.846,-0.394
41,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO MARANHÃO,SÃO LUÍS,MA,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.558,2,2021,49.0,42.0,42.0,1.0,-2.278
42,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO MARANHÃO,SÃO LUÍS,MA,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,1.768,2,2021,16.0,15.0,5.0,0.333,-1.667
43,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO PARÁ,BELÉM,PA,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,NAN,NAN,2021,38.0,0.0,0.0,0.0,NAN
44,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,NATAL,RN,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.514,3,2021,46.0,40.0,40.0,1.0,0.509
45,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO PARANÁ,CURITIBA,PR,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.368,3,2021,15.0,10.0,10.0,1.0,0.084
46,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,VITÓRIA,ES,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.396,3,2021,73.0,48.0,47.0,0.979,0.164
47,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,VITÓRIA,ES,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,1.0,0.0,0.0,0.0,NAN
48,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,VITÓRIA,ES,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.662,2,2021,33.0,24.0,20.0,0.833,-1.977
49,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE MINAS GERAIS,BELO HORIZONTE,MG,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.806,3,2021,37.0,30.0,30.0,1.0,1.36
50,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,JUIZ DE FORA,MG,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.888,3,2021,30.0,17.0,17.0,1.0,1.6
51,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DA BAHIA,SALVADOR,BA,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.495,3,2021,5.0,4.0,3.0,0.75,0.452
52,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DA PARAÍBA,JOÃO PESSOA,PB,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.493,4,2021,13.0,10.0,10.0,1.0,3.365
53,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE PERNAMBUCO,RECIFE,PE,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.665,2,2021,40.0,38.0,38.0,1.0,-1.968
54,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,PORTO ALEGRE,RS,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.181,4,2021,43.0,35.0,21.0,0.6,2.454
55,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE SANTA MARIA,SANTA MARIA,RS,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.292,4,2021,16.0,12.0,9.0,0.75,2.776
56,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE GOIÁS,GOIÂNIA,GO,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,3.26,4,2021,20.0,17.0,17.0,1.0,2.684
57,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE GOIÁS,GOIÂNIA,GO,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,2.325,3,2021,31.0,22.0,5.0,0.227,-0.042
58,ARTES VISUAIS ,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,RECIFE,PE,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,0.995,2,2021,24.0,21.0,20.0,0.952,-3.92
59,ARTES VISUAIS ,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",SÃO LUÍS,MA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.435,2,2021,11.0,10.0,10.0,1.0,-2.637
60,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO,RIO DE JANEIRO,RJ,CENTRO UNIVERSITÁRIO,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO PRESENCIAL,0.772,1,2021,16.0,12.0,6.0,0.5,-4.572
61,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE PELOTAS,PELOTAS,RS,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.145,3,2021,44.0,41.0,39.0,0.951,-0.566
62,ARTES VISUAIS ,UNIVERSIDADE DE TAUBATÉ,TAUBATÉ,SP,UNIVERSIDADE,PÚBLICA MUNICIPAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,5.0,5,2021,21.0,15.0,3.0,0.2,11.01
63,ARTES VISUAIS ,UNIVERSIDADE DE TAUBATÉ,TAUBATÉ,SP,UNIVERSIDADE,PÚBLICA MUNICIPAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,12.0,8.0,1.0,0.125,NAN
64,ARTES VISUAIS ,UNIVERSIDADE ANHANGUERA,CAMPO GRANDE,MS,UNIVERSIDADE,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,0.749,1,2021,12.0,10.0,5.0,0.5,-4.638
65,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,CAMPO GRANDE,MS,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.992,4,2021,18.0,17.0,16.0,0.941,1.901
66,ARTES VISUAIS ,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,PORTO VELHO,RO,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.029,3,2021,9.0,8.0,8.0,1.0,-0.906
67,ARTES VISUAIS ,UNIVERSIDADE DO ESTADO DE MATO GROSSO CARLOS ALBERTO REYES MALDONADO - UNEMAT,CÁCERES,MT,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,21.0,18.0,2.0,0.111,NAN
68,ARTES VISUAIS ,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,PONTA GROSSA,PR,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.961,4,2021,27.0,18.0,13.0,0.722,1.813
69,ARTES VISUAIS ,UNIVERSIDADE REGIONAL DO CARIRI,JUAZEIRO DO NORTE,CE,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.594,3,2021,35.0,29.0,26.0,0.896,0.741
70,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DE RORAIMA,BOA VISTA,RR,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,1.586,2,2021,9.0,9.0,6.0,0.666,-2.196
71,ARTES VISUAIS ,UNIVERSIDADE FEDERAL DO AMAPÁ,MACAPÁ,AP,UNIVERSIDADE,PÚBLICA FEDERAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.312,3,2021,58.0,34.0,32.0,0.941,-0.079
72,ARTES VISUAIS ,UNIVERSIDADE METROPOLITANA DE SANTOS,SANTOS,SP,UNIVERSIDADE,PRIVADA SEM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,62.0,50.0,8.0,0.16,NAN
73,ARTES VISUAIS ,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,BELO HORIZONTE,MG,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.042,3,2021,26.0,12.0,5.0,0.416,-0.866
74,ARTES VISUAIS ,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,BELO HORIZONTE,MG,UNIVERSIDADE,PÚBLICA ESTADUAL,LICENCIATURA,EDUCAÇÃO PRESENCIAL,2.282,3,2021,25.0,18.0,17.0,0.944,-0.168
75,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO INGÁ,MARINGÁ,PR,CENTRO UNIVERSITÁRIO,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,NAN,SC,2021,21.0,20.0,1.0,0.05,NAN
76,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,INDAIAL,SC,CENTRO UNIVERSITÁRIO,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,2.295,3,2021,247.0,174.0,80.0,0.459,-0.128
77,ARTES VISUAIS ,CENTRO UNIVERSITÁRIO INTERNACIONAL,CURITIBA,PR,CENTRO UNIVERSITÁRIO,PRIVADA COM FINS LUCRATIVOS,LICENCIATURA,EDUCAÇÃO A DISTÂNCIA,2.288,3,2021,736.0,538.0,179.0,0.332,-0.151
